Python,糗事百科,15000-30000元,深圳,3-5年,本科,"工作内容：
参与糗事百科的后端研发；
保障产品的快速迭代与服务质量；
任职资格：
三年以上高并发系统的设计与调优经验，对系统的架构与实现有清晰的认识；
熟悉linux系统生产环境搭建与调优；
至少熟悉 Python/Golang/C/C++ 其中一种语言
熟练掌握Mysql数据库的使用与优化；
熟悉至少一种web框架的使用和调优，并了解其基本原理
扎实的编程功底，能享受编程乐趣；
高效的学习能力和分析解决问题能力；
本科及以上学历；
                            
糗百""HR弟""，不是HRD
专业招聘打杂，后端开发（Python/Golang)/Andriod/iOS/产品经理/内容运营童鞋 憋走。。
来呀，快活啊~ ~
VX：m1052000292，欢迎来撩.."
Python,云图智联,15000-30000元,深圳,3-5年,本科,"关于WisConT
WisConT是一家集产学研为一体的高科跨国技企业，专注于物联网和大数据方面的研发及应用。公司总部设在深圳，目前为汇丰银行全球总行、英国电网、中国电信、深圳国税局等大型单位提供数据库及软件开发服务，同时与英国帝国理工、西安交通大学等高校展开紧密合作。WisConT集团横跨亚欧美大陆的多个国家，创始人为剑桥大学、帝国理工学院等世界顶级高校的博士生，目前全职、兼职开发人员共有20多人。
岗位：python后端数据工程师（数据库及Python）
职位要求
对数据库进行建库、建表及ETL操作，并协助定制基于Python的Web应用程序后端的规划、设计、开发、发布、部署及维护，主要涉及到税务相关的数据分析及后端程序开发。
性质和范围
在技术方面，该职位会向后端总监或更高级别的技术人员报告。该职位既需要能独立开展工作，也是团队的一部分，例如配合产品经理进行开发，为内部和外部客户提供软件解决方案。
基本职责
与客户沟通协作，以了解他们的业务需求
使用敏捷方法设计和开发完整的软件解决方案
记录软件使用情况并根据需要开发培训材料
维护和支持应用程序和数据库
管理开发基础设施工具和服务
与同行合作，开发创新解决方案
关键素质
良好的人际关系，良好的口头和书面沟通技巧，包括对软件代码的评论及注释
能够在基于团队的环境中与各级技术人员进行有效沟通和互动
具有批判性思维，能够有技巧地公开表达自己的不同意见
具有很强的解决问题的能力
能遵循标准操作规程，按照规范记录工作，并在接受适的监督
具有强烈的求知欲望和对新技术的钻研精神
所需技能
熟悉关系型数据库理论及管理
熟悉SQL语句
熟悉Pandas
了解ETL流程
有一定的Web应用程序开发经验
有Git版本控制系统的经验
良好的人际关系，口头和书面沟通技巧，包括评论软件代码
加分项
有大型数据表（亿行数据以上）的处理经验
熟悉数据仓库理论
                            
CEO李云曦博士
剑桥大学博士；伦敦帝国理工学院AES研究中心工业协作成员；数据科学家，大数据、人工智能技术专家。
CTO Pedro Baize博士
帝国理工学院博士。伦敦帝国理工学院AES研究中心工业应用主任，曾为帝国理工科学计算研究中心创始人兼副主任，博导；数据科学家，流体动力学专家，科学计算专家。"
Python,中星科技,12000-15000元,深圳,1-3年,本科,"python工程师：
1.熟练掌握1门开发语言python，最好懂c++，c#,go语言；
2.熟悉数据库，mysql，sqlserver；
3.熟悉linux，unix环境系统操作命令；
4.了解shell语言及脚本；
5.具备自然语言和机器学习的基础理论知识，有实战项目者优先；
6.使用go，python完成基于restful风格和基于websocket的服务端开发；
7.参与制定服务交互流程，与对接方协商设计接口协议；
8.编写爬虫项目爬取web上的文本信息，并做初步信息提取；
9.负责服务项目及爬虫项目的实现设计，编码，调优，测试，使用和接口文档撰写及bug的处理。
10.精通redis/postgresql，会设计关系型数据库的schema,同时有将非结构化数据提取转化为结构化数据的经验；
11.掌握基本数据采集，模拟登陆，http代理，动态数据获取，html文本信息提取等技术；
12.有git使用经验；
13.熟悉Apache/Ngnix等webServer的部署和应用；
14：规范化的文档编写习惯。
岗位：
1.本科及以上，计算机软件工程，数据科学等相关专业；
2.工作经验1-3年；"
python,德科信息,10000-15000元,深圳,1-3年,大专,"岗位需求
1、熟练Linux操作系统，了解常用开源软件，并有Linux系统下的开发经验；
2、具有扎实的编程基础，熟悉Python语言，熟悉常用的设计模式、应用架构；
3、熟悉Web开发常用技术，至少熟悉一种常用的web框架，如flask，django等；
4、熟悉数据库理论，至少熟悉一种数据库技术，如mysql、mongodb、redis等；
5、熟悉HTML/HTML5、CCS/CCS3、Javascript等前端技术，熟悉至少一种前端框架；
6、做事严谨踏实，有良好的团队合作精神和沟通协调能力；"
Python,小赢科技,10000-20000元,深圳,经验不限,本科,"【岗位职责】
1、负责平台基础模块的开发维护工作；
2、负责平台金融产品业务逻辑的实现。
【任职资格】
1、计算机相关专业，有相关工作经验；
2、熟练掌握python语言，了解Golang、C/C++语言更优
3、掌握一种主流web框架，熟悉http协议
4、熟悉html,js,css,javascript前端技术，有实际开发经验
5、熟练使用Mysql等数据库，熟悉SQL语言；
6、熟悉Linux系统的使用，以及相关环境下的调试 ；
7、了解memcache，redis，mongodb等nosql组件者优先；
8、较强的学习能力，善于交流，有团队合作精神。"
南山区  python,中软国际,6000-8000元,深圳,1-3年,本科,1.学习能力，动手能力沟通能力强.2.熟悉基本的Http，Tcp等协议，有一定网络基础3.熟练掌握一些脚本语言（ruby/shell/python/perl等任意）优先4.有网络安全产品，虚拟化产品，存储产品测试经验者优先
python,中软国际,12000-20000元,深圳,3-5年,本科,"岗位技能：
1.熟练Python或JAVA或Go语言进行编程
2.熟悉Linux ，Docker，MySQL、Redis等开源系统应用。
3.具有三年以上软件开发经验。
4.良好的沟通、协调、学习、创新能力，对解决具有挑战性问题充满激情；
5.具有相关产品开发和设计经验优先
岗位职责：
1.对标互联网自动化运维平台，开发包括自动化部署、监控、配置、故障自动化处理等平台，提升运维效率。
2.深入理解DevOps理念，负责Ops侧相关工具系统开发工作。
3.与运维团队合作，收集与理解需求，提供解决方案，改善运维流程；"
Python,途游游戏,10000-20000元,深圳,1-3年,本科,"游戏爱好者(重要), 具备扎实的计算机系统结构、数据结构等基础知识，熟悉TCP、HTTP等网络协议
  熟悉linux环境C/C++、shell、lua、python等开发语言，至少精通其中一种，有python开发经验者优先
  超过2年互联网行业工作经验，有大容量、高并发网络服务器开发经验，有棋牌项目开发经验者优先
  思维缜密，细心，善于学习和沟通，抗压能力强"
Python,雁联技术,11000-17000元,深圳,3-5年,本科,"岗位职责: 1.负责部门项目的后端模块开发工作，协助部门AI项目落地，能自主完成分配的任务
2.负责部门已开发完成项目的维护工作，懂得分析出现的问题，找出原因  
任职资格: 1.计算机相关专业本科以上学历，3年以上python或者web开发工作经验；
2.具有良好的编码规范，深刻理解面向对象设计和编程思想；
3.Python基础扎实，熟悉常用的类库； 
4.掌握Tornado、Django、Flask其中任一web框架，至少两年左右的web开发经验；
5.熟悉常用的工具如Redis，Memcached，Mongodb，Mysql，Nginx等的基本原理和使用； 
6.掌握linux环境下的开发和部署，掌握gitlab的使用； 
7.加分项：爬虫开发经验、前端开发经验。
PS：学历必须真实，学信网可查"
python后台开发,软通动力,14000-26000元,深圳,3-5年,本科,"熟练使用python，最少熟悉tornado、Django、flask中一种，构建过nginx + uWSGI + python的web-services者优先；
熟悉Linux/Unix平台，能熟练使用python, shell 等脚本语言进行系统日志分析；
熟悉mysql，熟练使用redis、MQ、celery等常用第三方组件；
具备良好的阅读文档能力，学习能力和表达能力。
完整的项目开发经验。
统招二本以上学历优"
